School Code,School Name,Latitude,Longitude,Centre Type,Independent Public School,Actual Floor Number,Actual Building Name,Actual Street Number,Actual Street Name,Actual Suburb/Town,Actual Postcode,OIC Title,Postal Address 1,Postal Address 2,Postal Address 3,Postal Address Post Code,Band,Phone Number,Restrict Contact to Outside Teaching Hours,Fax Number,Internet Site,Official Low Year Level,Official High Year Level,DoE Geographic Region,Federal Electorate,State Electorate,Local Government Area,Host Centre Name,Host Centre Code,Host Centre Type,
27,Mitchell State School,-26.488567,147.97152,State School,N,,,105,Cambridge Street,Mitchell,4465,Principal,PO Box 65,Mitchell,,4465,7,(07) 4623 8888,N,(07) 4623 1714,www.mitchellss.eq.edu.au,Prep Year,Year 10,Darling Downs South West,Maranoa,Warrego,Maranoa (R),27,Mitchell State School,State School,
28,Dalby State School,-27.184652,151.262317,State School,Y,,,155,Cunningham Street,Dalby,4405,Principal,PO Box 488,Dalby,,4405,8,(07) 4672 3666,N,(07) 4672 3600,www.dalbyss.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Maranoa,Warrego,Western Downs (R),28,Dalby State School,State School,
29,Ramsay State School,-27.721666,151.962564,State School,N,,,173,Ramsay School Road,Ramsay,4358,Principal,173 Ramsay School Road,Ramsay,Cambooya,4358,5,(07) 4630 9140,N,(07) 4630 9081,www.ramsayss.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Groom,Condamine,Toowoomba (R),29,Ramsay State School,State School,
31,Drayton State School,-27.60259,151.911785,State School,N,,,55,Brisbane Street,Drayton,4350,Principal,55 Brisbane Street,Drayton,,4350,7,(07) 4637 7444,N,(07) 4637 7400,www.draytonss.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Groom,Condamine,Toowoomba (R),31,Drayton State School,State School,
32,Coowonga State School,-23.30268,150.731153,State School,N,,,269,Coowonga Road,Coowonga,4702,Principal,269 Coowonga Road,Coowonga,,4702,5,(07) 4934 4192,N,(07) 4934 4445,www.coowongass.eq.edu.au,Prep Year,Year 6,Central Queensland,Capricornia,Keppel,Livingstone (S),32,Coowonga State School,State School,
33,Hendra State School,-27.421238,153.074494,State School,N,,,309,Nudgee Road,Hendra,4011,Principal,309 Nudgee Road,Hendra,,4011,6,(07) 3623 1333,N,(07) 3623 1300,www.hendrass.eq.edu.au,Prep Year,Year 6,Metropolitan,Brisbane,Clayfield,Brisbane (C),33,Hendra State School,State School,
34,Eight Mile Plains State School,-27.59354,153.109017,State School,N,,,480,Underwood Road,Eight Mile Plains,4113,Principal,480 Underwood Road,Eight Mile Plains,,4113,7,(07) 3340 6333,N,(07) 3340 6300,www.eighmiless.eq.edu.au,Prep Year,Year 6,Metropolitan,Moreton,Toohey,Brisbane (C),34,Eight Mile Plains State School,State School,
35,Enoggera State School,-27.417332,152.993752,State School,Y,,,235,South Pine Road,Enoggera,4051,Principal,PO Box 217,Alderley,,4051,7,(07) 3550 1333,N,(07) 3550 1300,www.enoggerass.eq.edu.au,Prep Year,Year 6,Metropolitan,Brisbane,Everton,Brisbane (C),35,Enoggera State School,State School,
36,Fig Tree Pocket State School,-27.526982,152.965677,State School,Y,,,,Cubberla Street,Fig Tree Pocket,4069,Principal,Cubberla Street,Fig Tree Pocket,,4069,8,(07) 3327 2111,N,(07) 3327 2100,www.figtreess.eq.edu.au,Prep Year,Year 6,Metropolitan,Ryan,Maiwar,Brisbane (C),36,Fig Tree Pocket State School,State School,
38,Albert State School,-25.546785,152.703888,State School,N,,,210-220,Albert Street,Maryborough,4650,Principal,210-220 Albert Street,Maryborough,,4650,6,(07) 4120 0888,N,(07) 4120 0800,www.albertss.eq.edu.au,Prep Year,Year 6,North Coast,Wide Bay,Maryborough,Fraser Coast (R),38,Albert State School,State School,
39,Woongoolba State School,-27.745145,153.319385,State School,N,,,1219,Jacobs Well Road,Woongoolba,4207,Principal,1219 Jacobs Well Road,Woongoolba,,4207,7,(07) 5547 4333,N,(07) 5547 4300,www.woongoolbass.eq.edu.au,Prep Year,Year 6,South East,Fadden,Coomera,Gold Coast (C),39,Woongoolba State School,State School,
40,Freestone State School,-28.135535,152.137777,State School,N,,,82,School Road,Freestone,4370,Principal,82 School Road,Freestone,via Warwick,4370,5,(07) 4666 1569,N,(07) 4666 1654,www.freestoness.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Maranoa,Southern Downs,Southern Downs (R),40,Freestone State School,State School,
41,Gatton State School,-27.560199,152.278366,State School,N,,,26,William Street,Gatton,4343,Principal,PO Box 166,Gatton,,4343,9,(07) 5466 3333,N,(07) 5466 3300,www.gattonss.eq.edu.au,Early Childhood,Year 6,Darling Downs South West,Wright,Lockyer,Lockyer Valley (R),41,Gatton State School,State School,
42,Gayndah State School,-25.623852,151.605979,State School,N,,,33,Meson Street,Gayndah,4625,Principal,PO Box 106,Gayndah,,4625,6,(07) 4160 3333,N,(07) 4160 3300,www.gayndahss.eq.edu.au,Prep Year,Year 6,Central Queensland,Flynn,Callide,North Burnett (R),42,Gayndah State School,State School,
43,Nundah State School,-27.402544,153.058328,State School,N,,,41,Bage Street,Nundah,4012,Principal,PO Box 379,Nundah,,4012,9,(07) 3635 5888,N,(07) 3635 5800,www.nundahss.eq.edu.au,Prep Year,Year 6,Metropolitan,Lilley,Nudgee,Brisbane (C),43,Nundah State School,State School,
44,Gladstone Central State School,-23.841864,151.257639,State School,N,,,74,Auckland Street,Gladstone Central,4680,Principal,74 Auckland Street,Gladstone,,4680,8,(07) 4979 7222,N,(07) 4972 2396,www.gladcentss.eq.edu.au,Prep Year,Year 6,Central Queensland,Flynn,Gladstone,Gladstone (R),44,Gladstone Central State School,State School,
45,Goodna State School,-27.606915,152.893662,State School,N,,,1,Albert Street,Goodna,4300,Principal,1 Albert Street,Goodna,,4300,10,(07) 3437 9333,N,(07) 3437 9300,www.goodnass.eq.edu.au,Prep Year,Year 6,Metropolitan,Oxley,Bundamba,Ipswich (C),45,Goodna State School,State School,
46,Goondiwindi State School,-28.543231,150.306236,State School,N,,,34,George Street,Goondiwindi,4390,Principal,LMB 5,Goondiwindi,,4390,9,(07) 4677 7333,N,(07) 4677 7300,www.goondiwnss.eq.edu.au,Early Childhood,Year 6,Darling Downs South West,Maranoa,Southern Downs,Goondiwindi (R),46,Goondiwindi State School,State School,
47,Gracemere State School,-23.435185,150.453919,State School,N,,,,O'Shanesy Street,Gracemere,4702,Principal,O'Shanesy Street,Gracemere,,4702,7,(07) 4931 7555,N,(07) 4931 7500,www.gracemerss.eq.edu.au,Prep Year,Year 6,Central Queensland,Flynn,Rockhampton,Rockhampton (R),47,Gracemere State School,State School,
49,Gympie Central State School,-26.188654,152.664619,State School,N,,,,Lawrence Street,Gympie,4570,Principal,Lawrence Street,Gympie,,4570,7,(07) 5480 2111,N,,www.gympcentss.eq.edu.au,Prep Year,Year 6,North Coast,Wide Bay,Gympie,Gympie (R),49,Gympie Central State School,State School,
50,Gilston State School,-28.03949,153.310862,State School,N,,,588,Worongary Road,Gilston,4211,Principal,588 Worongary Road,Gilston,,4211,9,(07) 5501 2333,N,(07) 5501 2300,www.gilstonss.eq.edu.au,Prep Year,Year 6,South East,Wright,Mudgeeraba,Gold Coast (C),50,Gilston State School,State School,
51,One Mile State School,-26.19931,152.675322,State School,N,,,,John Street,Gympie,4570,Principal,John Street,Gympie,,4570,8,(07) 5480 2777,N,(07) 5480 2700,www.onemiless.eq.edu.au,Prep Year,Year 6,North Coast,Wide Bay,Gympie,Gympie (R),51,One Mile State School,State School,
52,Helidon State School,-27.555069,152.125747,State School,N,,,16,School Street,Helidon,4344,Principal,16 School Street,Helidon,,4344,6,(07) 4612 9222,N,(07) 4612 9200,www.helidonss.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Wright,Lockyer,Lockyer Valley (R),52,Helidon State School,State School,
53,Highfields State School,-27.462877,151.955722,State School,N,,,10459,New England Highway,Highfields,4352,Principal,10459 New England Highway,Highfields,,4352,10,(07) 4699 6222,N,(07) 4699 6200,www.highfieldsss.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Groom,Toowoomba North,Toowoomba (R),53,Highfields State School,State School,
54,Geham State School,-27.406355,151.99591,State School,N,,,9625,New England Highway,Geham,4352,Principal,9625 New England Highway,Geham,,4352,6,(07) 4612 6333,N,(07) 4696 6392,www.gehamss.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Groom,Condamine,Toowoomba (R),54,Geham State School,State School,
55,Inglewood State School,-28.416159,151.07706,State School,N,,,,Chilcott Street,Inglewood,4387,Principal,PO Box 203,Inglewood,,4387,8,(07) 4652 0111,N,(07) 4652 0100,www.inglewoodss.eq.edu.au,Early Childhood,Year 10,Darling Downs South West,Maranoa,Southern Downs,Goondiwindi (R),55,Inglewood State School,State School,
57,Bouldercombe State School,-23.564135,150.471788,State School,N,,,52599,Burnett Highway,Bouldercombe,4702,Principal,52599 Burnett Highway,Bouldercombe,,4702,6,(07) 4912 4777,N,(07) 4912 4700,www.bouldercss.eq.edu.au,Prep Year,Year 6,Central Queensland,Flynn,Mirani,Rockhampton (R),57,Bouldercombe State School,State School,
58,Gunalda State School,-25.992745,152.560432,State School,N,,,,King Street,Gunalda,4570,Principal,c/- Post Office,Gunalda,,4570,5,(07) 5484 6211,N,(07) 5484 6326,www.gunaldass.eq.edu.au,Prep Year,Year 6,North Coast,Wide Bay,Gympie,Gympie (R),58,Gunalda State School,State School,
59,Ipswich Central State School,-27.621743,152.768337,State School,N,,,,Griffith Road,Ipswich,4305,Principal,Griffith Road,Ipswich,,4305,9,(07) 3432 5333,N,(07) 3432 5300,www.ipswcentss.eq.edu.au,Early Childhood,Year 6,Metropolitan,Blair,Ipswich,Ipswich (C),59,Ipswich Central State School,State School,
60,Craigslea State School,-27.383789,153.017253,State School,N,,,,Hamilton Road,Chermside West,4032,Principal,Hamilton Road,Chermside West,,4032,9,(07) 3350 8777,N,(07) 3359 7296,www.craigsless.eq.edu.au,Prep Year,Year 6,Metropolitan,Lilley,Aspley,Brisbane (C),60,Craigslea State School,State School,
61,Ipswich North State School,-27.601856,152.763337,State School,N,,,,Downs Street,North Ipswich,4305,Principal,PO Box 2288,North Ipswich,,4305,7,(07) 3813 5888,N,(07) 3813 5800,www.ipswichnorthss.eq.edu.au,Prep Year,Year 6,Metropolitan,Blair,Ipswich West,Ipswich (C),61,Ipswich North State School,State School,
62,Sunnybank State School,-27.57569,153.051486,State School,N,,,50,Eddington Street,Sunnybank,4109,Principal,50 Eddington Street,Sunnybank,,4109,8,(07) 3452 4888,N,(07) 3452 4800,www.sunnybanss.eq.edu.au,Prep Year,Year 6,Metropolitan,Moreton,Toohey,Brisbane (C),62,Sunnybank State School,State School,
63,Isisford State School,-24.260267,144.439537,State School,N,,,14,St Helena Street,Isisford,4731,Principal,PO Box 8,Isisford,,4731,5,(07) 4658 8186,N,(07) 4658 8190,www.isisfordss.eq.edu.au,Prep Year,Year 6,Central Queensland,Maranoa,Gregory,Longreach (R),63,Isisford State School,State School,
64,Jondaryan State School,-27.373065,151.585812,State School,N,,,,Scott Road,Jondaryan,4403,Principal,c/- Post Office,Jondaryan,,4403,5,(07) 4692 2139,N,(07) 4692 2243,www.jondaryass.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Groom,Condamine,Toowoomba (R),64,Jondaryan State School,State School,
65,Biggera Waters State School,-27.927255,153.397355,State School,N,,,,Cnr Morala Avenue & Coombabah Road,Biggera Waters,4216,Principal,Cnr Morala Avenue & Coombabah Road,Biggera Waters,,4216,10,(07) 5573 9222,N,(07) 5529 0250,www.biggerawatersss.eq.edu.au,Prep Year,Year 6,South East,Fadden,Broadwater,Gold Coast (C),65,Biggera Waters State School,State School,
67,Lakes Creek State School,-23.375945,150.560058,State School,N,,,445,Paterson Street,Lakes Creek,4701,Principal,445 Paterson Street,Lakes Creek,Rockhampton North,4701,6,(07) 4932 6333,N,(07) 4926 2139,www.lakescreekss.eq.edu.au,Prep Year,Year 6,Central Queensland,Capricornia,Keppel,Rockhampton (R),67,Lakes Creek State School,State School,
68,Leyburn State School,-28.013244,151.578371,State School,N,,,34,Peter Street,Leyburn,4365,Principal,c/- Post Office,Leyburn,,4365,5,(07) 4695 0172,N,(07) 4695 0226,www.leyburnss.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Maranoa,Southern Downs,Southern Downs (R),68,Leyburn State School,State School,
69,Logan Reserve State School,-27.714023,153.114472,State School,N,,,369-379,School Road,Logan Reserve,4133,Principal,369 School Road,Logan Reserve,,4133,8,(07) 3489 5444,N,(07) 3803 0026,www.loganreservess.eq.edu.au,Prep Year,Year 6,South East,Forde,Logan,Logan (C),69,Logan Reserve State School,State School,
70,Loganholme State School,-27.686306,153.180642,State School,N,,,,Wandilla Crescent,Loganholme,4129,Principal,PO Box 3055,Loganholme,,4129,8,(07) 3801 9333,N,(07) 3801 9300,www.loganholmess.eq.edu.au,Prep Year,Year 6,South East,Forde,Waterford,Logan (C),70,Loganholme State School,State School,
71,Mackay Central State School,-21.145484,149.181587,State School,N,,,,Alfred Street,Mackay,4740,Principal,PO Box 5335,Mackay MC,,4741,7,(07) 4969 3111,N,(07) 4967 0811,www.mackcentss.eq.edu.au,Prep Year,Year 6,Central Queensland,Dawson,Mackay,Mackay (R),71,Mackay Central State School,State School,
72,Maryborough Central State School,-25.535469,152.69949,State School,N,,,471,Kent Street,Maryborough,4650,Principal,471 Kent Street,Maryborough,,4650,8,(07) 4121 8777,N,(07) 4121 8700,www.maryboroughcentralss.eq.edu.au,Prep Year,Year 6,North Coast,Wide Bay,Maryborough,Fraser Coast (R),72,Maryborough Central State School,State School,
73,Moggill State School,-27.569261,152.877617,State School,Y,,,3417,Moggill Road,Moggill,4070,Principal,3417 Moggill Road,Moggill,,4070,9,(07) 3202 0444,N,(07) 3202 0400,www.moggillss.eq.edu.au,Prep Year,Year 6,Metropolitan,Ryan,Moggill,Brisbane (C),73,Moggill State School,State School,
74,Osborne State School,-19.700538,147.346602,State School,N,,,,Kirknie Road,Osborne,4806,Principal,PO Box 217,Home Hill,,4806,5,(07) 4782 6254,N,(07) 4782 6265,www.osborness.eq.edu.au,Prep Year,Year 6,North Queensland,Dawson,Burdekin,Burdekin (S),74,Osborne State School,State School,
75,Mount Perry State School,-25.182325,151.643167,State School,N,,,,Annie Street,Mount Perry,4671,Principal,Annie Street,Mount Perry,,4671,5,(07) 4156 3241,N,(07) 4156 3339,www.mtperryss.eq.edu.au,Early Childhood,Year 6,Central Queensland,Flynn,Callide,North Burnett (R),75,Mount Perry State School,State School,
76,Murphy's Creek State School,-27.458894,152.051323,State School,N,,,49,Murphys Creek School Road,Murphys Creek,4352,Principal,49 Murphys Creek School Road,Murphys Creek,,4352,5,(07) 4630 5167,N,(07) 4630 5259,www.murpcreess.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Wright,Lockyer,Lockyer Valley (R),76,Murphy's Creek State School,State School,
77,Nanango State School,-26.671683,152.005506,State School,N,,,39,Drayton Street,Nanango,4615,Principal,PO Box 471,Nanango,,4615,9,(07) 4171 6200,N,(07) 4171 6262,www.nanangoss.eq.edu.au,Early Childhood,Year 6,Darling Downs South West,Maranoa,Nanango,South Burnett (R),77,Nanango State School,State School,
78,Sherwood State School,-27.531579,152.983252,State School,N,,,464,Oxley Road,Sherwood,4075,Principal,PO Box 19,Sherwood,,4075,9,(07) 3716 2111,N,(07) 3716 2100,www.sherwoodss.eq.edu.au,Prep Year,Year 6,Metropolitan,Moreton,Miller,Brisbane (C),78,Sherwood State School,State School,
79,Oxley State School,-27.564262,152.980617,State School,Y,,,,Bannerman Street,Oxley,4075,Principal,Bannerman Street,Oxley,,4075,8,(07) 3716 2444,N,(07) 3716 2400,www.oxleyss.eq.edu.au,Prep Year,Year 6,Metropolitan,Moreton,Mount Ommaney,Brisbane (C),79,Oxley State School,State School,
80,Petrie Terrace State School,-27.459915,153.0096,State School,N,,,40,Moreton Street,Paddington,4064,Principal,PO Box 444,Red Hill,,4059,7,(07) 3259 9333,N,(07) 3369 9539,www.petrieterracess.eq.edu.au,Prep Year,Year 6,Metropolitan,Brisbane,Cooper,Brisbane (C),80,Petrie Terrace State School,State School,
81,Pimpama State School,-27.8171,153.27857,State School,Y,,,9,Hotham Creek Road North,Pimpama,4209,Principal,9 Hotham Creek Road North,Pimpama,,4209,9,(07) 5549 4333,N,(07) 5549 4300,www.pimpamass.eq.edu.au,Prep Year,Year 6,South East,Forde,Coomera,Gold Coast (C),81,Pimpama State School,State School,
82,Western Cape College - Mapoon,-12.016118,141.899972,Campus,N,,,,Red Beach Road,Mapoon,4874,Head of Campus,PO Box 167,Weipa,,4874,6,(07) 4082 9333,N,(07) 4082 9300,www.westerncapecollege.eq.edu.au,Early Childhood,Year 6,Far North Queensland,Leichhardt,Cook,Mapoon (S),5399,Western Cape College,State School,
84,Gabbinbar State School,-27.595978,151.969248,State School,N,,,189,Stenner Street,Centenary Heights,4350,Principal,189 Stenner Street,Toowoomba,,4350,8,(07) 4631 5222,N,(07) 4631 5200,www.gabbinbarss.eq.edu.au,Prep Year,Year 6,Darling Downs South West,Groom,Toowoomba South,Toowoomba (R),84,Gabbinbar State School,State School,
85,Kenmore SHS - Special Education Program,-27.508328,152.929695,Special Education Program,N,,,60,Aberfeldy Street,Kenmore,4069,Head of Special Education Services,PO Box 116,Kenmore,,4069,6,(07) 3327 1555,N,(07) 3327 1500,www.kenmoreshs.eq.edu.au,Year 7,Year 12,Metropolitan,Ryan,Moggill,Brisbane (C),2132,Kenmore State High School,State High School,
86,Peak Crossing State School,-27.779813,152.731243,State School,N,,,,Ipswich-Boonah Road,Peak Crossing,4306,Principal,Ipswich-Boonah Road,Peak Crossing,,4306,7,(07) 5464 8111,N,(07) 5464 8100,www.peakcrosss.eq.edu.au,Prep Year,Year 6,South East,Wright,Scenic Rim,Scenic Rim (R),86,Peak Crossing State School,State School,
88,Redbank Plains State School,-27.647923,152.851911,State School,N,,,39-53,School Road,Redbank Plains,4301,Principal,39-53 School Road,Redbank Plains,,4301,10,(07) 3814 9222,N,(07) 3814 9200,www.redbplaiss.eq.edu.au,Prep Year,Year 6,Metropolitan,Blair,Bundamba,Ipswich (C),88,Redbank Plains State School,State School,
89,Lockyer District SHS - Special Education Program,-27.566932,152.276977,Special Education Program,N,,,100,William Street,Gatton,4343,Head of Special Education Services,PO Box 266,Gatton,,4343,7,(07) 5466 2333,N,(07) 5466 2300,,Year 7,Year 12,Darling Downs South West,Wright,Lockyer,Lockyer Valley (R),2062,Lockyer District State High School,State High School,
91,Islamic College of Brisbane,-27.618684,153.093124,Non-State School,N,,,45,Acacia Road,Karawatha,4117,Principal,PO Box 1769,Springwood,,4127,,(07) 3841 3645,,(07) 3841 4320,www.icb.qld.edu.au,Prep Year,Year 12,Metropolitan,Rankin,Stretton,Brisbane (C),91,Islamic College of Brisbane,Non-State School,
92,Rolleston State School,-24.46248,148.624042,State School,N,,,16,Warrijo Street,Rolleston,4702,Principal,16 Warrijo Street,Rolleston,,4702,5,(07) 4988 9333,N,(07) 4988 9300,www.rollestoss.eq.edu.au,Prep Year,Year 6,Central Queensland,Flynn,Gregory,Central Highlands (R),92,Rolleston State School,State School,
94,Samford State School,-27.376571,152.880758,State School,Y,,,,School Road,Samford Village,4520,Principal,PO Box 854,Samford,,4520,10,(07) 3430 9111,N,(07) 3430 9100,www.samfordss.eq.edu.au,Prep Year,Year 6,Metropolitan,Dickson,Pine Rivers,Moreton Bay (R),94,Samford State School,State School,
96,Ananda Marga River School,-26.734315,152.844731,Non-State School,N,,,251,Bridge Creek Road,Maleny,4552,Principal,PO Box 411,Maleny,,4552,,(07) 5494 3559,,(07) 5494 3577,www.amriverschool.org,Prep Year,Year 6,North Coast,Fisher,Glass House,Sunshine Coast (R),96,Ananda Marga River School,Non-State School,
97,Dysart State School,-22.587792,148.34751,State School,N,,,,Garnham Drive,Dysart,4745,Principal,PO Box 187,Dysart,,4745,8,(07) 4941 1555,N,(07) 4941 1500,www.dysartss.eq.edu.au,Prep Year,Year 6,Central Queensland,Capricornia,Burdekin,Isaac (R),97,Dysart State School,State School,
98,MacKillop Catholic Primary School (Andergrove),-21.081183,149.185566,Non-State School,N,,,20,Nadarmi Drive,Andergrove,4740,Principal,20 Nadarmi Drive,Andergrove,,4740,,(07) 4955 3600,,(07) 4955 3611,www.rok.catholic.edu.au/schools/school_mackay8.htm,Prep Year,Year 6,Central Queensland,Dawson,Mackay,Mackay (R),98,MacKillop Catholic Primary School (Andergrove),Non-State School,
